                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.82533,                0.52704,                  1.155,                0.71681,                0.80802,                0.79106,                0.58694,                0.99959,                0.60184,                 1.3019,             0.00056105,             0.00056105,             0.00056105
                     52,                0.83004,                0.51959,                 1.1692,                0.80252,                0.73133,                0.79264,                0.59128,                 1.0281,                 0.6315,                 1.3104,             0.00055006,             0.00055006,             0.00055006
                     53,                0.84415,                0.54105,                 1.1766,                0.76045,                0.75127,                0.76077,                 0.5682,                 1.0025,                0.62385,                 1.2981,             0.00053906,             0.00053906,             0.00053906
                     54,                0.83524,                0.50316,                 1.1711,                0.74252,                0.73108,                0.75726,                0.58339,                0.98845,                0.64098,                 1.3099,             0.00052806,             0.00052806,             0.00052806
                     55,                0.84002,                0.50623,                 1.1678,                0.72098,                0.73979,                 0.7763,                0.59102,                0.94456,                0.61689,                 1.2828,             0.00051706,             0.00051706,             0.00051706
                     56,                0.83297,                0.51858,                 1.1667,                0.62867,                 0.6588,                0.67575,                0.50148,                 1.0267,                0.74539,                 1.2872,             0.00050606,             0.00050606,             0.00050606
                     57,                0.81153,                0.52075,                 1.1605,                0.75235,                0.69769,                0.75106,                 0.5583,                 1.0112,                0.64899,                  1.322,             0.00049506,             0.00049506,             0.00049506
                     58,                 0.8307,                0.50663,                 1.1669,                0.72947,                0.76403,                0.78974,                0.59685,                0.97472,                0.62749,                 1.2735,             0.00048406,             0.00048406,             0.00048406
                     59,                0.80598,                0.50434,                 1.1494,                0.76735,                0.73149,                0.75336,                0.55783,                0.98751,                0.71701,                 1.3072,             0.00047306,             0.00047306,             0.00047306
                     60,                0.80597,                0.48292,                 1.1485,                0.78228,                 0.7774,                0.81269,                 0.6147,                0.97725,                0.57358,                 1.2819,             0.00046206,             0.00046206,             0.00046206
                     61,                0.80726,                0.49757,                 1.1548,                0.74317,                0.74552,                0.76356,                0.57898,                0.97894,                0.63562,                 1.2994,             0.00045107,             0.00045107,             0.00045107
                     62,                0.78239,                0.48029,                 1.1372,                0.70396,                0.76338,                0.77426,                0.59584,                 0.9322,                0.62052,                  1.284,             0.00044007,             0.00044007,             0.00044007
                     63,                0.79739,                0.49252,                 1.1401,                0.80484,                0.75347,                0.79658,                0.59944,                0.95826,                0.61397,                 1.3074,             0.00042907,             0.00042907,             0.00042907
                     64,                0.78702,                0.47799,                 1.1434,                0.83817,                0.76258,                0.82518,                0.62125,                0.96352,                0.57919,                 1.2921,             0.00041807,             0.00041807,             0.00041807
                     65,                0.77563,                0.48065,                  1.137,                0.83528,                0.77487,                0.83681,                0.62737,                0.96694,                0.56737,                 1.2718,             0.00040707,             0.00040707,             0.00040707
                     66,                0.77384,                0.47801,                 1.1361,                0.77421,                 0.7688,                0.80381,                 0.6155,                0.95281,                0.61736,                 1.2738,             0.00039607,             0.00039607,             0.00039607
                     67,                0.76937,                0.47049,                 1.1327,                0.79183,                0.77609,                0.83038,                 0.6353,                0.93166,                0.55611,                 1.2651,             0.00038507,             0.00038507,             0.00038507
                     68,                0.75848,                0.46963,                 1.1306,                0.86173,                0.70662,                0.78972,                0.60441,                0.93134,                0.61358,                 1.2731,             0.00037407,             0.00037407,             0.00037407
