                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.88423,                 0.5536,                 1.1933,                0.71932,                0.78641,                0.75907,                0.56439,                 1.0141,                0.63151,                 1.3034,             0.00083603,             0.00083603,             0.00083603
                     52,                0.87793,                0.55726,                 1.1918,                0.62562,                0.75318,                0.75305,                0.55522,                 1.0553,                 0.6647,                 1.3184,             0.00083053,             0.00083053,             0.00083053
                     53,                0.89323,                0.57539,                 1.2018,                0.64433,                0.75127,                0.72746,                0.53787,                 1.0737,                0.66571,                 1.3283,             0.00082503,             0.00082503,             0.00082503
                     54,                0.88035,                0.53811,                  1.199,                 0.6389,                0.75954,                0.75595,                0.57738,                 1.0037,                0.63784,                 1.2948,             0.00081953,             0.00081953,             0.00081953
                     55,                0.88562,                0.54712,                 1.1953,                0.73862,                0.71172,                0.72877,                0.54817,                0.98316,                0.69566,                 1.2997,             0.00081403,             0.00081403,             0.00081403
                     56,                0.88868,                0.57523,                 1.1998,                0.76288,                0.70854,                0.78131,                0.55632,                 1.0719,                0.66295,                 1.3453,             0.00080853,             0.00080853,             0.00080853
                     57,                0.86346,                0.55362,                 1.1902,                0.68378,                0.70752,                0.70036,                0.47378,                 1.2562,                0.78228,                 1.4816,             0.00080303,             0.00080303,             0.00080303
                     58,                0.88892,                0.54545,                 1.1982,                0.70151,                0.73149,                0.77556,                 0.5861,                0.99223,                0.67945,                 1.3198,             0.00079753,             0.00079753,             0.00079753
                     59,                0.84888,                0.54807,                 1.1718,                0.71267,                0.73341,                0.74626,                0.55245,                 1.0336,                0.67316,                 1.3078,             0.00079203,             0.00079203,             0.00079203
                     60,                0.86338,                0.53245,                 1.1793,                0.75919,                0.74132,                0.78268,                0.56775,                 1.0838,                0.62675,                 1.3298,             0.00078653,             0.00078653,             0.00078653
                     61,                0.86731,                0.54914,                 1.1893,                0.63646,                0.76315,                0.73272,                0.55848,                0.98734,                0.66067,                 1.2863,             0.00078103,             0.00078103,             0.00078103
                     62,                 0.8344,                0.51875,                 1.1667,                   0.74,                0.80533,                 0.8003,                0.59193,                 1.0385,                0.61227,                 1.3391,             0.00077553,             0.00077553,             0.00077553
                     63,                0.84804,                0.53446,                 1.1697,                0.62183,                0.77797,                0.68437,                0.51767,                0.96761,                0.71482,                 1.3196,             0.00077003,             0.00077003,             0.00077003
                     64,                0.84273,                0.51538,                 1.1743,                0.85662,                0.71682,                  0.806,                0.58485,                 1.0731,                0.60246,                 1.3578,             0.00076453,             0.00076453,             0.00076453
                     65,                0.84316,                0.52295,                 1.1755,                0.76278,                0.69164,                0.76533,                0.57024,                 0.9898,                0.62582,                 1.2961,             0.00075904,             0.00075904,             0.00075904
                     66,                 0.8287,                0.52565,                 1.1635,                0.69221,                0.77614,                 0.7953,                 0.5967,                 0.9851,                0.61302,                 1.3036,             0.00075354,             0.00075354,             0.00075354
                     67,                 0.8363,                0.51762,                  1.165,                0.80967,                0.69704,                0.78764,                0.60757,                0.93339,                0.59884,                  1.266,             0.00074804,             0.00074804,             0.00074804
                     68,                0.81947,                0.51517,                 1.1604,                0.71976,                0.77805,                0.80596,                0.60627,                0.97094,                0.60243,                 1.2841,             0.00074254,             0.00074254,             0.00074254
                     69,                0.80742,                0.49134,                 1.1431,                0.84102,                0.70654,                0.78106,                0.59162,                 1.0318,                0.65556,                 1.3461,             0.00073704,             0.00073704,             0.00073704
                     70,                0.83532,                0.52588,                 1.1595,                0.80519,                0.73176,                0.80279,                0.60265,                0.98679,                0.59919,                 1.3112,             0.00073154,             0.00073154,             0.00073154
                     71,                0.81928,                0.50152,                 1.1688,                0.78234,                0.75188,                0.80414,                0.61039,                 0.9425,                0.57048,                 1.2936,             0.00072604,             0.00072604,             0.00072604
                     72,                0.80801,                0.48961,                 1.1542,                0.66954,                0.79591,                0.77365,                0.59134,                0.97279,                0.62453,                  1.291,             0.00072054,             0.00072054,             0.00072054
                     73,                0.80983,                0.49324,                 1.1517,                0.74286,                0.74924,                0.79373,                0.60263,                0.97602,                0.62032,                 1.3112,             0.00071504,             0.00071504,             0.00071504
                     74,                0.81029,                0.48719,                 1.1551,                0.83622,                0.69777,                0.78788,                0.60878,                0.96241,                0.61675,                 1.3421,             0.00070954,             0.00070954,             0.00070954
                     75,                0.82112,                0.51821,                 1.1686,                0.68752,                0.71555,                0.71428,                0.52705,                 1.0034,                0.68053,                 1.3229,             0.00070404,             0.00070404,             0.00070404
                     76,                0.80959,                0.50864,                 1.1523,                0.70821,                0.75836,                0.75963,                0.58275,                 0.9283,                0.60883,                 1.2557,             0.00069854,             0.00069854,             0.00069854
                     77,                0.80978,                0.48708,                 1.1555,                0.81369,                0.72568,                0.77643,                0.58862,                0.96595,                0.64192,                 1.2955,             0.00069304,             0.00069304,             0.00069304
                     78,                0.80383,                0.48811,                  1.146,                0.83738,                0.76912,                0.82487,                0.63496,                0.95562,                0.58386,                  1.268,             0.00068754,             0.00068754,             0.00068754
                     79,                0.79001,                 0.4711,                 1.1342,                0.88207,                0.71107,                0.76492,                0.59289,                0.91575,                 0.6165,                   1.27,             0.00068204,             0.00068204,             0.00068204
                     80,                  0.771,                0.47609,                   1.13,                0.78774,                0.72845,                0.79841,                0.59124,                0.98118,                 0.5838,                 1.3223,             0.00067654,             0.00067654,             0.00067654
                     81,                0.77721,                0.49183,                 1.1408,                0.77603,                0.71747,                0.76529,                0.56465,                 1.0052,                0.71337,                 1.3256,             0.00067104,             0.00067104,             0.00067104
                     82,                 0.7913,                0.47486,                 1.1426,                 0.7683,                0.77201,                0.80599,                0.61596,                0.95745,                0.60854,                 1.2768,             0.00066554,             0.00066554,             0.00066554
                     83,                0.77869,                0.46971,                 1.1328,                0.77731,                0.76912,                0.81148,                0.62785,                0.94427,                0.58389,                 1.2533,             0.00066005,             0.00066005,             0.00066005
                     84,                0.76528,                0.45898,                 1.1341,                0.82169,                0.73341,                0.80423,                0.63249,                0.90925,                0.61685,                 1.2481,             0.00065455,             0.00065455,             0.00065455
                     85,                0.77255,                0.45691,                 1.1376,                0.79007,                0.78123,                0.80097,                0.61351,                0.94558,                0.62161,                  1.278,             0.00064905,             0.00064905,             0.00064905
                     86,                0.79551,                0.48083,                 1.1524,                0.78104,                0.78123,                0.83021,                0.63804,                0.93378,                0.53837,                 1.2772,             0.00064355,             0.00064355,             0.00064355
                     87,                0.76254,                0.44756,                 1.1332,                0.81842,                0.75693,                0.84118,                0.65124,                0.94198,                0.55146,                 1.2777,             0.00063805,             0.00063805,             0.00063805
                     88,                0.77075,                0.45107,                 1.1307,                0.78003,                0.77693,                0.77993,                0.61111,                0.90386,                 0.5836,                 1.2457,             0.00063255,             0.00063255,             0.00063255
                     89,                 0.7521,                0.44956,                 1.1181,                0.80758,                0.73787,                 0.7869,                0.61966,                0.91291,                0.59711,                 1.2438,             0.00062705,             0.00062705,             0.00062705
                     90,                0.76728,                 0.4596,                   1.13,                0.80209,                0.73106,                0.79339,                0.62031,                0.93421,                0.62364,                 1.2866,             0.00062155,             0.00062155,             0.00062155
                     91,                0.75142,                0.45588,                 1.1171,                0.80085,                0.79831,                  0.809,                0.63238,                0.90685,                0.57049,                 1.2919,             0.00061605,             0.00061605,             0.00061605
                     92,                0.75356,                0.44346,                 1.1211,                0.82189,                0.77932,                0.81241,                0.62516,                0.96747,                0.59255,                 1.2989,             0.00061055,             0.00061055,             0.00061055
                     93,                0.73616,                 0.4472,                 1.1211,                0.80609,                0.77104,                0.83111,                0.64486,                0.93078,                0.64085,                 1.2728,             0.00060505,             0.00060505,             0.00060505
                     94,                0.76793,                0.44627,                 1.1294,                 0.7722,                0.77997,                0.82044,                0.62347,                 0.9755,                0.63949,                  1.313,             0.00059955,             0.00059955,             0.00059955
                     95,                0.76804,                0.44764,                 1.1241,                0.74794,                0.79399,                0.81358,                0.63876,                0.92449,                0.65856,                 1.3058,             0.00059405,             0.00059405,             0.00059405
                     96,                0.74131,                0.44733,                  1.114,                0.78683,                0.79208,                0.82016,                0.64528,                0.90007,                0.57405,                 1.2811,             0.00058855,             0.00058855,             0.00058855
                     97,                0.74082,                0.43475,                 1.1246,                0.80402,                0.81108,                0.84677,                0.65497,                0.93855,                0.56891,                 1.2955,             0.00058305,             0.00058305,             0.00058305
                     98,                0.75102,                0.43806,                 1.1188,                0.85217,                 0.8348,                0.87224,                 0.6704,                 0.9334,                0.52974,                 1.3152,             0.00057755,             0.00057755,             0.00057755
                     99,                0.74224,                 0.4432,                 1.1119,                0.88566,                0.74288,                0.76005,                0.59199,                0.90941,                0.63399,                 1.2703,             0.00057205,             0.00057205,             0.00057205
                    100,                0.74552,                0.43584,                  1.112,                0.90001,                0.75127,                0.80736,                0.63417,                0.92216,                0.63694,                 1.2826,             0.00056655,             0.00056655,             0.00056655
                    101,                 0.7309,                0.43182,                 1.1119,                0.84078,                0.77614,                0.82651,                0.64214,                0.90633,                0.57844,                 1.2873,             0.00056105,             0.00056105,             0.00056105
                    102,                 0.7414,                0.44583,                 1.1189,                0.78772,                0.80874,                0.84101,                0.66367,                0.92485,                0.55664,                 1.2927,             0.00055556,             0.00055556,             0.00055556
                    103,                0.73044,                0.42031,                 1.1148,                 0.7937,                0.77805,                0.81489,                0.64417,                0.88051,                0.59439,                 1.2467,             0.00055006,             0.00055006,             0.00055006
                    104,                0.70739,                 0.4117,                 1.0923,                0.88996,                0.77805,                0.85101,                0.67375,                0.91312,                0.54197,                 1.2975,             0.00054456,             0.00054456,             0.00054456
                    105,                0.70748,                0.41425,                 1.0995,                0.83794,                0.76078,                0.82223,                0.64815,                0.90826,                0.57004,                  1.289,             0.00053906,             0.00053906,             0.00053906
                    106,                0.70635,                0.41545,                 1.0917,                0.86279,                0.77805,                0.83813,                0.66635,                0.87099,                0.57834,                 1.2549,             0.00053356,             0.00053356,             0.00053356
                    107,                0.71143,                0.40925,                 1.1043,                0.77182,                0.83032,                0.84427,                0.67623,                0.89515,                0.53284,                 1.2835,             0.00052806,             0.00052806,             0.00052806
                    108,                0.69783,                0.40267,                 1.0897,                 0.7878,                0.79399,                0.79457,                 0.6324,                0.88204,                0.59752,                 1.2792,             0.00052256,             0.00052256,             0.00052256
                    109,                0.72841,                0.42461,                 1.1087,                 0.7134,                0.83856,                 0.8084,                0.64439,                0.88911,                0.57058,                 1.2705,             0.00051706,             0.00051706,             0.00051706
                    110,                0.70651,                0.40864,                 1.0959,                0.77314,                0.75718,                0.79965,                0.62952,                 0.8798,                0.59483,                 1.2835,             0.00051156,             0.00051156,             0.00051156
                    111,                0.70429,                0.40484,                 1.0945,                0.82602,                0.81438,                0.85019,                0.67423,                0.86404,                0.52722,                 1.2561,             0.00050606,             0.00050606,             0.00050606
                    112,                0.70514,                 0.4137,                 1.0974,                0.80256,                0.77735,                0.81846,                0.64543,                0.88212,                0.63371,                 1.2613,             0.00050056,             0.00050056,             0.00050056
                    113,                0.69947,                0.41103,                 1.0934,                 0.7116,                0.88125,                0.83419,                0.65647,                  0.872,                0.58006,                 1.2514,             0.00049506,             0.00049506,             0.00049506
                    114,                0.71259,                0.40959,                 1.1085,                0.87947,                0.78682,                0.84666,                0.65616,                0.88525,                0.54018,                 1.2805,             0.00048956,             0.00048956,             0.00048956
                    115,                0.70732,                0.41245,                 1.1049,                0.77063,                0.75763,                0.78453,                 0.6304,                0.88948,                0.64587,                 1.2856,             0.00048406,             0.00048406,             0.00048406
                    116,                0.69303,                0.40936,                 1.0913,                0.87353,                 0.7652,                0.82279,                0.64759,                0.88655,                0.60096,                 1.2839,             0.00047856,             0.00047856,             0.00047856
                    117,                0.69475,                0.39497,                 1.0974,                0.78884,                0.83097,                0.83911,                0.67335,                0.85093,                0.55638,                 1.2744,             0.00047306,             0.00047306,             0.00047306
                    118,                0.68453,                0.39937,                 1.0812,                0.85413,                0.77549,                0.81411,                0.65077,                0.87624,                0.58728,                 1.3025,             0.00046756,             0.00046756,             0.00046756
                    119,                0.67984,                0.39563,                 1.0886,                0.82532,                0.76553,                0.77982,                0.62075,                0.91688,                0.63701,                 1.2861,             0.00046206,             0.00046206,             0.00046206
                    120,                0.67188,                0.37917,                 1.0756,                0.82533,                0.78315,                0.80116,                0.63193,                0.89051,                0.59806,                 1.2933,             0.00045657,             0.00045657,             0.00045657
                    121,                0.68268,                0.38443,                 1.0783,                0.85149,                0.78825,                 0.8231,                0.66088,                 0.8753,                0.57441,                 1.2804,             0.00045107,             0.00045107,             0.00045107
                    122,                0.67356,                0.38168,                   1.08,                0.84553,                0.78568,                0.83187,                 0.6651,                0.88705,                0.56095,                 1.3125,             0.00044557,             0.00044557,             0.00044557
                    123,                0.68102,                0.39609,                 1.0739,                0.88519,                0.77614,                0.82694,                0.66506,                0.85599,                0.56853,                 1.2726,             0.00044007,             0.00044007,             0.00044007
                    124,                0.67347,                0.37193,                 1.0695,                0.89355,                0.78271,                0.82117,                0.66039,                0.86763,                0.57266,                 1.2831,             0.00043457,             0.00043457,             0.00043457
                    125,                0.67913,                0.37832,                 1.0782,                0.82705,                0.77212,                0.79477,                0.63891,                0.86238,                0.62555,                 1.2778,             0.00042907,             0.00042907,             0.00042907
                    126,                0.67464,                0.38863,                 1.0831,                0.84585,                0.79068,                 0.8318,                0.66174,                 0.8575,                0.58588,                 1.2816,             0.00042357,             0.00042357,             0.00042357
                    127,                0.67076,                0.38315,                  1.081,                0.83047,                0.81351,                0.81167,                0.64481,                0.90362,                0.62763,                 1.3243,             0.00041807,             0.00041807,             0.00041807
                    128,                0.65709,                0.37627,                 1.0697,                0.77485,                0.82523,                 0.8232,                0.67309,                0.87549,                 0.6092,                 1.3129,             0.00041257,             0.00041257,             0.00041257
                    129,                0.66054,                0.37568,                 1.0666,                 0.8363,                0.86795,                0.87752,                0.70925,                 0.8421,                0.51964,                 1.2671,             0.00040707,             0.00040707,             0.00040707
                    130,                0.66386,                0.38305,                 1.0745,                0.82871,                0.84883,                0.85879,                0.68909,                0.85447,                0.54963,                 1.2827,             0.00040157,             0.00040157,             0.00040157
                    131,                0.64352,                0.37301,                 1.0581,                0.90045,                0.82396,                0.85274,                0.68539,                0.86624,                0.56394,                 1.3159,             0.00039607,             0.00039607,             0.00039607
                    132,                0.67362,                0.37401,                 1.0784,                0.81733,                 0.8318,                0.84102,                0.68298,                 0.8556,                0.56639,                 1.2997,             0.00039057,             0.00039057,             0.00039057
                    133,                0.66592,                0.38393,                 1.0693,                0.89048,                0.75954,                0.82401,                0.67164,                 0.8663,                0.62635,                 1.3076,             0.00038507,             0.00038507,             0.00038507
                    134,                0.64994,                0.36431,                 1.0583,                0.92601,                0.78315,                0.84042,                0.69155,                0.84921,                0.57134,                 1.2885,             0.00037957,             0.00037957,             0.00037957
                    135,                0.64896,                 0.3769,                 1.0658,                0.81632,                0.82014,                0.83558,                0.68904,                0.82814,                0.55372,                  1.256,             0.00037407,             0.00037407,             0.00037407
                    136,                 0.6392,                 0.3687,                 1.0611,                0.90681,                0.79909,                0.83595,                 0.6871,                0.83254,                0.55929,                 1.2569,             0.00036857,             0.00036857,             0.00036857
                    137,                0.64478,                0.35609,                 1.0599,                0.88732,                0.74552,                0.80077,                0.64433,                0.84506,                0.60381,                 1.2568,             0.00036307,             0.00036307,             0.00036307
                    138,                0.64625,                0.36702,                  1.056,                0.83104,                0.79591,                0.80636,                0.65893,                 0.8427,                0.61188,                 1.2836,             0.00035758,             0.00035758,             0.00035758
                    139,                0.62901,                0.34978,                 1.0608,                0.79483,                0.82278,                0.81682,                0.66623,                0.84632,                0.61223,                  1.273,             0.00035208,             0.00035208,             0.00035208
                    140,                0.62799,                0.36185,                 1.0599,                0.86044,                0.79258,                0.83933,                0.68968,                0.82121,                0.55892,                 1.2555,             0.00034658,             0.00034658,             0.00034658
                    141,                0.62594,                0.35547,                 1.0453,                0.86696,                0.79911,                0.84384,                0.70019,                0.83267,                 0.5485,                 1.2778,             0.00034108,             0.00034108,             0.00034108
                    142,                0.62543,                0.35311,                 1.0516,                0.83642,                0.81146,                0.82249,                0.67843,                0.82106,                0.59915,                 1.2646,             0.00033558,             0.00033558,             0.00033558
                    143,                0.62714,                0.35217,                 1.0507,                0.90038,                0.80036,                0.84797,                0.69641,                 0.8428,                0.54379,                 1.2761,             0.00033008,             0.00033008,             0.00033008
                    144,                0.62847,                0.35202,                 1.0493,                0.86237,                0.82018,                0.84419,                0.69395,                0.82854,                0.55963,                 1.2666,             0.00032458,             0.00032458,             0.00032458
